name,category,city,address,court_count,lights,access,hours,phone,reserve_url,info_url,directions_url,notes,lat,lng,map_accuracy,id
El Dorado Tennis Center,pay,Long Beach,"2800 Studebaker Rd., Long Beach, CA 90815",15,yes,Paid court reservations; contact the center for current availability and fees.,,(562) 425-0553,https://www.longbeach.gov/park/park-and-facilities/directory/el-dorado-tennis-center/,https://www.longbeach.gov/park/park-and-facilities/directory/el-dorado-tennis-center/,https://www.google.com/maps/search/?api=1&query=2800+Studebaker+Rd.%2C+Long+Beach%2C+CA+90815,,,,pending address/facility match,pay-el-dorado-tennis-center
Cheviot Hills Courts,pay,Los Angeles,"2551 Motor Ave., Los Angeles, CA 90064",,unknown,Paid court facility. Check the official LA City tennis page for current booking procedures and availability.,Mon–Fri 8 AM–10 PM; Sat/Sun & Holidays 8 AM–7 PM,(310) 836-8879,https://www.laparks.org/sports/tennis/pay,https://www.laparks.org/sports/tennis,https://www.google.com/maps/search/?api=1&query=2551+Motor+Ave.%2C+Los+Angeles%2C+CA+90064,,,,pending address/facility match,pay-cheviot-hills-courts
Poinsettia Courts,pay,Los Angeles,"7341 Willoughby Ave., Los Angeles, CA 90046",,unknown,Paid court facility. Check the official LA City tennis page for current booking procedures and availability.,Mon–Fri 8 AM–12 PM & 5 PM–9 PM; Sat/Sun & Holidays 8 AM–7 PM,(323) 644-3536,https://www.laparks.org/sports/tennis/pay,https://www.laparks.org/sports/tennis,https://www.google.com/maps/search/?api=1&query=7341+Willoughby+Ave.%2C+Los+Angeles%2C+CA+90046,,,,pending address/facility match,pay-poinsettia-courts
Riverside Courts (Griffith),pay,Los Angeles,"3401 Riverside Drive, Los Angeles, CA 90027",,unknown,Paid court facility. Check the official LA City tennis page for current booking procedures and availability.,Mon–Fri 8 AM–12 PM & 5 PM–9 PM; Sat/Sun & Holidays 8 AM–7 PM,(323) 661-5318,https://www.laparks.org/sports/tennis/pay,https://www.laparks.org/sports/tennis,https://www.google.com/maps/search/?api=1&query=3401+Riverside+Drive%2C+Los+Angeles%2C+CA+90027,,,,pending address/facility match,pay-riverside-courts-griffith
Van Nuys / Sherman Oaks Courts,pay,Los Angeles,"14201 Huston Street, Van Nuys, CA 91423",,unknown,Paid court facility. Check the official LA City tennis page for current booking procedures and availability.,Mon–Fri 8 AM–12 PM & 5 PM–9 PM; Sat/Sun & Holidays 8 AM–7 PM,(818) 756-8400,https://www.laparks.org/sports/tennis/pay,https://www.laparks.org/sports/tennis,https://www.google.com/maps/search/?api=1&query=14201+Huston+Street%2C+Van+Nuys%2C+CA+91423,,,,pending address/facility match,pay-van-nuys-sherman-oaks-courts
Vermont Canyon Courts (Griffith),pay,Los Angeles,"2715 Vermont Cyn., Los Angeles, CA 90027",,no,Paid court facility. Check the official LA City tennis page for current booking procedures and availability.,Mon–Fri 8 AM–5 PM; Sat/Sun & Holidays 8 AM–5 PM,(323) 664-3521,https://www.laparks.org/sports/tennis/pay,https://www.laparks.org/sports/tennis,https://www.google.com/maps/search/?api=1&query=2715+Vermont+Cyn.%2C+Los+Angeles%2C+CA+90027,Non-lighted facility,,,pending address/facility match,pay-vermont-canyon-courts-griffith
Westchester Courts,pay,Los Angeles,"7000 W. Manchester Ave., Los Angeles, CA 90045",,unknown,Paid court facility. Check the official LA City tennis page for current booking procedures and availability.,Mon–Fri 5 PM–9 PM; Sat/Sun & Holidays 8 AM–7 PM,(323) 644-3536,https://www.laparks.org/sports/tennis/pay,https://www.laparks.org/sports/tennis,https://www.google.com/maps/search/?api=1&query=7000+W.+Manchester+Ave.%2C+Los+Angeles%2C+CA+90045,,,,pending address/facility match,pay-westchester-courts
Westwood Courts,pay,Los Angeles,"1350 Sepulveda Blvd., Los Angeles, CA 90024",,unknown,Paid court facility. Check the official LA City tennis page for current booking procedures and availability.,Mon–Fri 5 PM–9 PM; Sat/Sun & Holidays 8 AM–7 PM,(310) 575-8299,https://www.laparks.org/sports/tennis/pay,https://www.laparks.org/sports/tennis,https://www.google.com/maps/search/?api=1&query=1350+Sepulveda+Blvd.%2C+Los+Angeles%2C+CA+90024,,,,pending address/facility match,pay-westwood-courts
Live Oak Park Tennis Courts,pay,Manhattan Beach,"1901 Valley Dr., Manhattan Beach, CA 90266",6,yes,Online reservation required; resident and nonresident hourly rates apply.,Reservation hours vary by day; see booking page.,(310) 802-5448,https://www.courts.manhattanbeach.gov/,https://www.manhattanbeach.gov/departments/parks-and-recreation/tennis,https://www.google.com/maps/search/?api=1&query=1901+Valley+Dr.%2C+Manhattan+Beach%2C+CA+90266,,,,pending address/facility match,pay-live-oak-park-tennis-courts
Manhattan Heights Park Tennis Courts,pay,Manhattan Beach,"1600 Manhattan Beach Blvd., Manhattan Beach, CA 90266",2,yes,Online reservation required; resident and nonresident hourly rates apply.,Generally 8 AM–8 PM; reservations required.,(310) 802-5448,https://www.courts.manhattanbeach.gov/,https://www.manhattanbeach.gov/departments/parks-and-recreation/tennis,https://www.google.com/maps/search/?api=1&query=1600+Manhattan+Beach+Blvd.%2C+Manhattan+Beach%2C+CA+90266,,,,pending address/facility match,pay-manhattan-heights-park-tennis-courts
Mira Costa High School Tennis Courts,pay,Manhattan Beach,"1401 Artesia Blvd., Manhattan Beach, CA 90266",10,yes,Online reservation required; resident and nonresident hourly rates apply.,Public reservation hours are outside school use; see booking page.,(310) 802-5448,https://www.courts.manhattanbeach.gov/,https://www.manhattanbeach.gov/departments/parks-and-recreation/tennis,https://www.google.com/maps/search/?api=1&query=1401+Artesia+Blvd.%2C+Manhattan+Beach%2C+CA+90266,,,,pending address/facility match,pay-mira-costa-high-school-tennis-courts
Alta Vista Racquet Center,pay,Redondo Beach,"715 Julia Ave., Redondo Beach, CA 90277",7,yes,Annual membership and hourly court-use fees apply; reserve online or by phone.,,(310) 318-0670,https://www.redondo.org/departments/community_services/recreation_facilities/index.php,https://www.redondo.org/business_detail_T14_R115.php,https://www.google.com/maps/search/?api=1&query=715+Julia+Ave.%2C+Redondo+Beach%2C+CA+90277,,,,pending address/facility match,pay-alta-vista-racquet-center
Christine Emerson Reed Park Tennis Courts,pay,Santa Monica,"1133 7th St., Santa Monica, CA 90401",6,yes,Reservable paid courts through the city tennis system.,,,https://www.santamonica.gov/process-explainers/how-to-reserve-a-tennis-court,https://www.santamonica.gov/programs/tennis,https://www.google.com/maps/search/?api=1&query=1133+7th+St.%2C+Santa+Monica%2C+CA+90401,,,,pending address/facility match,pay-christine-emerson-reed-park-tennis-courts
Ocean View Park Tennis Courts,pay,Santa Monica,"2701 Barnard Way, Santa Monica, CA 90405",6,no,Weekend reservations available through the city system; check current rules.,,,https://www.santamonica.gov/process-explainers/how-to-reserve-a-tennis-court,https://www.santamonica.gov/programs/tennis,https://www.google.com/maps/search/?api=1&query=2701+Barnard+Way%2C+Santa+Monica%2C+CA+90405,,,,pending address/facility match,pay-ocean-view-park-tennis-courts
Plummer Park Tennis Courts,pay,West Hollywood,"1200 N. Vista St., West Hollywood, CA 90046",7,yes,Paid reservations; residents receive a longer advance-booking window.,,(323) 380-7088,https://www.weho.org/community/recreation-services/tennis,https://www.weho.org/community/recreation-services/tennis,https://www.google.com/maps/search/?api=1&query=1200+N.+Vista+St.%2C+West+Hollywood%2C+CA+90046,,,,pending address/facility match,pay-plummer-park-tennis-courts
West Hollywood Park Rooftop Tennis Courts,pay,West Hollywood,"625 N. San Vicente Blvd., West Hollywood, CA 90069",3,yes,Paid reservations; residents receive a longer advance-booking window.,,(323) 848-6534,https://www.weho.org/community/recreation-services/tennis,https://www.weho.org/community/recreation-services/tennis,https://www.google.com/maps/search/?api=1&query=625+N.+San+Vicente+Blvd.%2C+West+Hollywood%2C+CA+90069,,,,pending address/facility match,pay-west-hollywood-park-rooftop-tennis-courts
Alhambra Park Tennis Courts,open,Alhambra,"500 N. Palm Ave., Alhambra, CA 91801",,unknown,Casual public use; organized/group court rentals may require contacting Parks & Recreation.,,,https://www.cityofalhambra.org/294/Parks-Recreation,https://www.cityofalhambra.org/Facilities/Facility/Details/Alhambra-Park-15,https://www.google.com/maps/search/?api=1&query=500+N.+Palm+Ave.%2C+Alhambra%2C+CA+91801,,,,pending address/facility match,open-alhambra-park-tennis-courts
Story Park Tennis Courts,open,Alhambra,"210 N. Chapel Ave., Alhambra, CA 91801",,unknown,Casual public use; organized/group court rentals may require contacting Parks & Recreation.,,,https://www.cityofalhambra.org/294/Parks-Recreation,https://www.cityofalhambra.org/facilities/facility/details/Story-Park-23,https://www.google.com/maps/search/?api=1&query=210+N.+Chapel+Ave.%2C+Alhambra%2C+CA+91801,,,,pending address/facility match,open-story-park-tennis-courts
Brace Canyon Park,open,Burbank,"2901 Haven Way, Burbank, CA 91504",,yes,First-come public drop-in; public reservations are not available.,Public drop-in generally 7 AM–10 PM.,,https://www.burbankca.gov/web/parks-recreation/park-permits,https://www.burbankca.gov/web/parks-recreation/drop-in-sports,https://www.google.com/maps/search/?api=1&query=2901+Haven+Way%2C+Burbank%2C+CA+91504,,,,pending address/facility match,open-brace-canyon-park
Burbank Tennis Center at McCambridge Park,open,Burbank,"1515 N. Glenoaks Blvd., Burbank, CA 91504",,yes,First-come public drop-in; public reservations are not available.,Public drop-in except during programmed use.,,https://www.burbankca.gov/web/parks-recreation/park-permits,https://www.burbankca.gov/web/parks-recreation/drop-in-sports,https://www.google.com/maps/search/?api=1&query=1515+N.+Glenoaks+Blvd.%2C+Burbank%2C+CA+91504,,,,pending address/facility match,open-burbank-tennis-center-at-mccambridge-park
George Izay Park,open,Burbank,"1111 W. Olive Ave., Burbank, CA 91506",,unknown,First-come public drop-in; public reservations are not available.,Check the posted George Izay schedule.,,https://www.burbankca.gov/web/parks-recreation/park-permits,https://www.burbankca.gov/web/parks-recreation/drop-in-sports,https://www.google.com/maps/search/?api=1&query=1111+W.+Olive+Ave.%2C+Burbank%2C+CA+91506,,,,pending address/facility match,open-george-izay-park
Mountain View Park,open,Burbank,"1401 W. Riverside Dr., Burbank, CA 91506",,yes,First-come public drop-in; public reservations are not available.,Public drop-in generally 7 AM–10 PM.,,https://www.burbankca.gov/web/parks-recreation/park-permits,https://www.burbankca.gov/web/parks-recreation/drop-in-sports,https://www.google.com/maps/search/?api=1&query=1401+W.+Riverside+Dr.%2C+Burbank%2C+CA+91506,,,,pending address/facility match,open-mountain-view-park
Verdugo Park,open,Burbank,"3201 W. Verdugo Ave., Burbank, CA 91505",,yes,First-come public drop-in; public reservations are not available.,Public drop-in generally 7 AM–10 PM.,,https://www.burbankca.gov/web/parks-recreation/park-permits,https://www.burbankca.gov/web/parks-recreation/drop-in-sports,https://www.google.com/maps/search/?api=1&query=3201+W.+Verdugo+Ave.%2C+Burbank%2C+CA+91505,,,,pending address/facility match,open-verdugo-park
Anderson Park Tennis Courts,open,Carson,"19101 Wilmington Ave., Carson, CA 90746",4,yes,Public park courts; follow posted hours and programming.,,,https://ci.carson.ca.us/CommunityServices/Parks_Rec_Parks.aspx,https://ci.carson.ca.us/CommunityServices/Parks_Anderson.aspx,https://www.google.com/maps/search/?api=1&query=19101+Wilmington+Ave.%2C+Carson%2C+CA+90746,,,,pending address/facility match,open-anderson-park-tennis-courts
Calas Park Tennis Courts,open,Carson,"1000 E. 220th St., Carson, CA 90745",2,yes,Public park courts; follow posted hours and programming.,,,https://ci.carson.ca.us/CommunityServices/Parks_Rec_Parks.aspx,https://ci.carson.ca.us/communityservices/Parks_Calas.aspx,https://www.google.com/maps/search/?api=1&query=1000+E.+220th+St.%2C+Carson%2C+CA+90745,,,,pending address/facility match,open-calas-park-tennis-courts
Dolphin Park Tennis Courts,open,Carson,"21205 S. Water St., Carson, CA 90745",2,yes,Public park courts; follow posted hours and programming.,,,https://ci.carson.ca.us/CommunityServices/Parks_Rec_Parks.aspx,https://ci.carson.ca.us/CommunityServices/Parks_Rec_Parks.aspx,https://www.google.com/maps/search/?api=1&query=21205+S.+Water+St.%2C+Carson%2C+CA+90745,,,,pending address/facility match,open-dolphin-park-tennis-courts
Dominguez Park Tennis Courts,open,Carson,"21330 Santa Fe Ave., Carson, CA 90810",2,yes,Public park courts; follow posted hours and programming.,,,https://ci.carson.ca.us/CommunityServices/Parks_Rec_Parks.aspx,https://ci.carson.ca.us/communityservices/Parks_Dominguez.aspx,https://www.google.com/maps/search/?api=1&query=21330+Santa+Fe+Ave.%2C+Carson%2C+CA+90810,,,,pending address/facility match,open-dominguez-park-tennis-courts
Foisia Park Tennis Courts,open,Carson,"23410 Catskill Ave., Carson, CA 90745",2,yes,Public park courts; follow posted hours and programming.,,,https://ci.carson.ca.us/CommunityServices/Parks_Rec_Parks.aspx,https://ci.carson.ca.us/CommunityServices/Parks_Foisia.aspx,https://www.google.com/maps/search/?api=1&query=23410+Catskill+Ave.%2C+Carson%2C+CA+90745,,,,pending address/facility match,open-foisia-park-tennis-courts
Stevenson Park Tennis Courts,open,Carson,"17400 Lysander Dr., Carson, CA 90746",2,unknown,Public park courts; follow posted hours and programming.,,,https://ci.carson.ca.us/CommunityServices/Parks_Rec_Parks.aspx,https://ci.carson.ca.us/communityservices/Parks_Stevenson.aspx,https://www.google.com/maps/search/?api=1&query=17400+Lysander+Dr.%2C+Carson%2C+CA+90746,,,,pending address/facility match,open-stevenson-park-tennis-courts
Veterans Park Tennis Courts,open,Carson,"22400 Moneta Ave., Carson, CA 90745",2,unknown,Public park courts; follow posted hours and programming.,,,https://ci.carson.ca.us/CommunityServices/Parks_Rec_Parks.aspx,https://ci.carson.ca.us/CommunityServices/Parks_Veterans.aspx,https://www.google.com/maps/search/?api=1&query=22400+Moneta+Ave.%2C+Carson%2C+CA+90745,,,,pending address/facility match,open-veterans-park-tennis-courts
Culver West Alexander Park Tennis Court,open,Culver City,"4162 Wade St., Culver City, CA 90066",,unknown,Public park court; follow posted rotation and park rules.,,,https://www.culvercity.org/Parks,https://www.culvercity.org/Parks/Culver-West-Alexander-Park,https://www.google.com/maps/search/?api=1&query=4162+Wade+St.%2C+Culver+City%2C+CA+90066,,,,pending address/facility match,open-culver-west-alexander-park-tennis-court
Fox Hills Park Tennis Courts,open,Culver City,"5809 Green Valley Cir., Culver City, CA 90230",,yes,Public park court; follow posted rotation and park rules.,,,https://www.culvercity.org/Parks,https://www.culvercity.org/Parks/Fox-Hills-Park,https://www.google.com/maps/search/?api=1&query=5809+Green+Valley+Cir.%2C+Culver+City%2C+CA+90230,,,,pending address/facility match,open-fox-hills-park-tennis-courts
Lindberg Park Tennis Courts,open,Culver City,"5401 Rhoda Way, Culver City, CA 90230",,unknown,Public park court; follow posted rotation and park rules.,,,https://www.culvercity.org/Parks,https://www.culvercity.org/Parks/Lindberg-Park,https://www.google.com/maps/search/?api=1&query=5401+Rhoda+Way%2C+Culver+City%2C+CA+90230,,,,pending address/facility match,open-lindberg-park-tennis-courts
Syd Kronenthal Park Tennis Court,open,Culver City,"3459 McManus Ave., Culver City, CA 90232",,unknown,Public park court; follow posted rotation and park rules.,,,https://www.culvercity.org/Parks,https://www.culvercity.org/Parks/Syd-Kronenthal-Park,https://www.google.com/maps/search/?api=1&query=3459+McManus+Ave.%2C+Culver+City%2C+CA+90232,,,,pending address/facility match,open-syd-kronenthal-park-tennis-court
Veterans Memorial Park Tennis Courts,open,Culver City,"4117 Overland Ave., Culver City, CA 90230",,unknown,Public park court; follow posted rotation and park rules.,,,https://www.culvercity.org/Parks,https://www.culvercity.org/Parks/Veterans-Memorial-Park,https://www.google.com/maps/search/?api=1&query=4117+Overland+Ave.%2C+Culver+City%2C+CA+90230,,,,pending address/facility match,open-veterans-memorial-park-tennis-courts
Dunsmore Park,open,Glendale,"4700 Dunsmore Ave., Glendale, CA 91214",1,no,Free public unlighted court; first-come unless posted programming.,,,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/athletic-amenities,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/athletic-amenities,https://www.google.com/maps/search/?api=1&query=4700+Dunsmore+Ave.%2C+Glendale%2C+CA+91214,,34.2386145,-118.2559092,verified facility coordinate,open-dunsmore-park
Emerald Isle Park,open,Glendale,"2130 Lenore Dr., Glendale, CA 91202",2,no,Free public unlighted courts; first-come unless posted programming.,,,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/athletic-amenities,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/athletic-amenities,https://www.google.com/maps/search/?api=1&query=2130+Lenore+Dr.%2C+Glendale%2C+CA+91202,,,,pending address/facility match,open-emerald-isle-park
Glenoaks Park,open,Glendale,"2531 E. Glenoaks Blvd., Glendale, CA 91206",,no,Free public unlighted courts; first-come unless posted programming.,,,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/athletic-amenities,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/athletic-amenities,https://www.google.com/maps/search/?api=1&query=2531+E.+Glenoaks+Blvd.%2C+Glendale%2C+CA+91206,,34.1512763,-118.2095226,verified facility coordinate,open-glenoaks-park
Maple Park,open,Glendale,"820 E. Maple St., Glendale, CA 91205",,no,Free public unlighted courts; first-come unless posted programming.,,,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/athletic-amenities,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/athletic-amenities,https://www.google.com/maps/search/?api=1&query=820+E.+Maple+St.%2C+Glendale%2C+CA+91205,,34.1366600,-118.2416290,address-level coordinate,open-maple-park
Montrose Community Park,open,Glendale,"3529 Clifton Pl., Glendale, CA 91208",2,yes,Free public lit courts; first-come unless posted programming.,,,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/athletic-amenities,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/athletic-amenities,https://www.google.com/maps/search/?api=1&query=3529+Clifton+Pl.%2C+Glendale%2C+CA+91208,,34.2013940,-118.2253521,verified facility coordinate,open-montrose-community-park
Nibley Park,open,Glendale,"1103 E. Mountain St., Glendale, CA 91207",,no,Free public unlighted courts; first-come unless posted programming.,,,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/athletic-amenities,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/athletic-amenities,https://www.google.com/maps/search/?api=1&query=1103+E.+Mountain+St.%2C+Glendale%2C+CA+91207,,34.1641400,-118.2384300,verified facility coordinate,open-nibley-park
Oakmont View Park,open,Glendale,"2940 Oakmont View Dr., Glendale, CA 91208",2,yes,Free public lit courts; first-come unless posted programming.,,,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/athletic-amenities,https://www.glendaleca.gov/government/departments/community-services-parks/parks-facilities-historic-sites/athletic-amenities,https://www.google.com/maps/search/?api=1&query=2940+Oakmont+View+Dr.%2C+Glendale%2C+CA+91208,,34.1912980,-118.2374160,address-level coordinate,open-oakmont-view-park
Kelly Courts Tennis Court,open,Hermosa Beach,"861 Valley Dr., Hermosa Beach, CA 90254",1,unknown,Drop-in tennis only; no tennis reservation required.,Daily 9 AM–9 PM.,(310) 318-0280,https://www.hermosabeach.gov/Home/Components/FacilityDirectory/FacilityDirectory/125/248,https://www.hermosabeach.gov/Home/Components/FacilityDirectory/FacilityDirectory/125/248,https://www.google.com/maps/search/?api=1&query=861+Valley+Dr.%2C+Hermosa+Beach%2C+CA+90254,,,,pending address/facility match,open-kelly-courts-tennis-court
Ashwood Park Tennis Courts,open,Inglewood,"201 S. Ash Ave., Inglewood, CA 90301",2,unknown,Public park courts; check posted programming and facility hours.,Dawn to dusk.,,https://www.cityofinglewood.org/1788/Parks-Recreation-Centers,https://www.cityofinglewood.org/1788/Parks-Recreation-Centers,https://www.google.com/maps/search/?api=1&query=201+S.+Ash+Ave.%2C+Inglewood%2C+CA+90301,,,,pending address/facility match,open-ashwood-park-tennis-courts
Darby Park Tennis Courts,open,Inglewood,"3400 W. Arbor Vitae St., Inglewood, CA 90305",2,unknown,Public park courts; check posted programming and facility hours.,Park generally open to 9 PM.,,https://www.cityofinglewood.org/1788/Parks-Recreation-Centers,https://www.cityofinglewood.org/1788/Parks-Recreation-Centers,https://www.google.com/maps/search/?api=1&query=3400+W.+Arbor+Vitae+St.%2C+Inglewood%2C+CA+90305,,,,pending address/facility match,open-darby-park-tennis-courts
Edward Vincent Jr. Park Tennis Courts,open,Inglewood,"700 Warren Ln., Inglewood, CA 90302",8,unknown,Public park courts; check posted programming and facility hours.,Park generally open to 9 PM.,,https://www.cityofinglewood.org/1788/Parks-Recreation-Centers,https://www.cityofinglewood.org/1788/Parks-Recreation-Centers,https://www.google.com/maps/search/?api=1&query=700+Warren+Ln.%2C+Inglewood%2C+CA+90302,,,,pending address/facility match,open-edward-vincent-jr-park-tennis-courts
North Park Tennis Courts,open,Inglewood,"611 Hargrave St., Inglewood, CA 90302",3,unknown,Public park courts; check posted programming and facility hours.,Dawn to dusk.,,https://www.cityofinglewood.org/1788/Parks-Recreation-Centers,https://www.cityofinglewood.org/1788/Parks-Recreation-Centers,https://www.google.com/maps/search/?api=1&query=611+Hargrave+St.%2C+Inglewood%2C+CA+90302,,,,pending address/facility match,open-north-park-tennis-courts
Rogers Park Tennis Courts,open,Inglewood,"400 W. Beach Ave., Inglewood, CA 90302",2,unknown,Public park courts; check posted programming and facility hours.,Park generally open to 9 PM.,,https://www.cityofinglewood.org/1788/Parks-Recreation-Centers,https://www.cityofinglewood.org/1788/Parks-Recreation-Centers,https://www.google.com/maps/search/?api=1&query=400+W.+Beach+Ave.%2C+Inglewood%2C+CA+90302,,,,pending address/facility match,open-rogers-park-tennis-courts
Cherry Park Tennis Courts,open,Long Beach,"1901 E. 45th St., Long Beach, CA 90807",,yes,Free public courts.,,(562) 570-1615,https://www.longbeach.gov/park/recreation-programs/sports-and-athletics/tennis-courts/,https://www.longbeach.gov/park/recreation-programs/sports-and-athletics/tennis-courts/,https://www.google.com/maps/search/?api=1&query=1901+E.+45th+St.%2C+Long+Beach%2C+CA+90807,,,,pending address/facility match,open-cherry-park-tennis-courts
College Estates Park Tennis Courts,open,Long Beach,"808 Stevely Ave., Long Beach, CA 90815",,no,Free public courts.,,(562) 570-1617,https://www.longbeach.gov/park/recreation-programs/sports-and-athletics/tennis-courts/,https://www.longbeach.gov/park/recreation-programs/sports-and-athletics/tennis-courts/,https://www.google.com/maps/search/?api=1&query=808+Stevely+Ave.%2C+Long+Beach%2C+CA+90815,,,,pending address/facility match,open-college-estates-park-tennis-courts
